Player,Pos,Ht (inches),Wt (lbs)
Tony Amonte ,RW,72,202
Glenn Anderson ,RW,73,190
Phil Bourque ,LW,73,196
Mike Gartner ,RW,72,190
Greg Gilbert ,LW,73,195
Adam Graves ,LW,72,205
Mike Hartman ,LW,72,190
Jim Hiller ,RW,72,190
Mike Hudson ,C,74,205
Joey Kocur ,RW,72,222
Alex Kovalev ,RW,74,222
Nick Kypreos ,LW,72,210
Daniel Lacroix ,C,74,205
Steve Larmer ,RW,71,195
Craig MacTavish ,C,73,200
Todd Marchant ,C,70,180
Stephane Matteau ,LW,76,220
Mark Messier ,C,74,211
Sergei Nemchinov ,LW,73,205
Brian Noonan ,RW,73,200
Eddie Olczyk ,RW,73,207
Esa Tikkanen ,LW,73,200
Darren Turcotte ,C,72,190
Peter Andersson ,D,72,196
Jeff Beukeboom ,D,77,230
Alexander Karpovtsev ,D,75,221
Brian Leetch ,D,72,190
Doug Lidster ,D,73,200
Kevin Lowe ,D,74,200
Joby Messier ,D,73,207
Mattias Norstrom ,D,74,210
James Patrick ,D,74,198
Jay Wells ,D,73,210
Sergei Zubov *,D,73,198
Glenn Healy ,G,68,195
Mike Richter ,G,70,190
